x,y
3.09678,-0.979788
2.6329,3.76397
-3.02519,-2.49138
-3.15964,-3.52445
4.76687,0.527703
4.55201,0.112794
-2.65258,0.364437
2.28152,1.57879
1.63565,-2.58981
4.53594,-1.60057
-3.22275,3.79894
2.63182,4.0159
1.57024,-4.46335
2.08867,3.89507
3.09962,1.22482
3.27632,-3.16158
-1.87006,-3.39132
3.8814,-0.48564
-0.880906,4.2549
2.8272,0.419685
-1.17,2.79125
-3.86646,-1.25001
1.41514,-2.57849
0.0042458,2.49748
-3.77279,0.472792
-2.12408,2.3554
0.203428,3.13157
4.19596,2.46171
-0.694671,1.61378
-2.62992,-3.95258
0.913148,-4.43799
-4.15194,2.68771
1.94297,0.641979
-3.50058,-2.53819
-2.01784,4.23769
2.39908,1.60737
-1.49616,-3.24503
1.00546,-0.420355
-2.54928,-0.802291
2.18111,-3.94999
-0.925942,3.6745
2.86362,3.25868
3.90946,-0.697881
-0.785399,-4.33773
-1.66163,-0.545865
0.230891,3.44443
-3.8315,2.28585
-1.09445,2.44084
-1.28299,-2.3209
-3.78723,0.211944
-3.17732,0.761948
0.61956,4.45977
1.06384,3.47037
2.96708,-2.21545
0.288221,3.09571
-4.74148,-0.681614
3.33637,-1.49085
-1.30425,-3.92425
-0.48873,4.58983
3.98695,0.579902
-1.24947,-3.3954
-0.650858,-2.19936
4.05982,-0.62596
-0.736286,3.78378
0.387838,3.13072
0.0998635,3.88401
0.990779,2.30451
-1.5618,-2.97893
2.17957,-3.42034
1.69584,4.24371
-1.5909,3.2763
1.45345,-2.10192
0.925787,-3.65995
0.41386,4.17802
2.31651,-3.08697
-4.32551,2.12051
1.93727,3.23189
-0.985168,2.10148
-3.49019,0.279022
-2.70954,-2.1679
-1.16428,3.37326
0.720977,-3.8142
-2.9809,-3.04003
3.37946,2.7246
-0.0285505,-4.66853
-1.26525,-3.83188
0.370138,-2.22666
-2.21299,-0.252469
-2.88832,1.74918
-1.94964,-2.44796
-2.52685,2.96286
-2.7292,1.01965
-0.860772,-4.78699
-3.908,2.47735
-3.88815,2.3956
1.83878,1.65212
1.38207,3.955
-3.22894,-2.40703
0.198819,2.54708
0.550362,-1.26009
-2.15818,-4.41724
4.88405,0.723138
1.56207,-2.53425
4.47731,-1.02482
-2.17099,2.82565
2.53938,3.92529
-4.0933,-0.45944
-1.40232,3.80306
-4.87395,0.147432
3.42088,-1.87576
-3.00766,2.19074
-2.79895,3.95583
-3.24721,-0.369718
-2.53163,2.71722
-0.0168763,-3.93985
-1.44934,4.26491
-4.14279,1.57595
3.05111,3.61096
2.48878,-0.126584
-4.41021,0.150809
1.91742,1.69853
2.1357,-4.12439
1.79353,-4.64442
1.50183,3.82264
1.88319,2.11229
-0.795104,2.29536
3.55858,-2.10349
2.82854,-2.75621
-2.68312,-4.2464
3.2001,1.75174
4.17464,-1.78176
-0.806979,1.02208
-3.29566,3.4071
2.95026,0.00496778
-3.3924,1.8161
2.19656,-2.52618
4.00961,2.31627
1.12011,4.76314
-3.12759,3.36708
-0.0621925,2.79013
3.81184,-1.51166
-2.77508,-2.39518
-2.78637,3.34794
1.98298,-4.24416
4.12992,2.27494
-1.11352,-1.0752
-0.282211,1.19253
1.40404,-3.59141
2.88686,-2.5851
-0.51435,2.97786
1.00586,-4.62347
2.52412,-2.77059
-2.69882,1.6087
-4.2093,1.11974
1.46918,2.80339
0.277466,1.64872
0.0581423,-1.79702
-1.32381,2.22363
-3.38901,-1.78638
4.33113,-1.82184
-3.30374,-2.24631
1.37366,-1.75727
-3.58262,-2.60751
-0.855285,1.0722
-1.9869,3.62537
-2.04811,0.670841
-1.53121,-1.44498
-3.25618,-2.59105
3.76449,2.06305
0.181022,4.78642
0.771854,-4.32093
-0.82625,3.79437
